insight_id	category	trigger	sourceText	sourceUrl	current_adult_title	current_adult_body	current_kid_title	current_kid_body	proposed_adult_title	proposed_adult_body	proposed_kid_title	proposed_kid_body	notes
I47	adhd	habit_added	Faraone et al.	https://pubmed.ncbi.nlm.nih.gov/33501530/	Attention differences are common	"A noticeable slice of adults meet criteria for attention-deficit conditions; many never get a label but still benefit from structure.

If a system helps you function, that is the outcome that counts."	Attention comes in flavours	"Many people have attention differences; structure still helps everyone.

If a tool helps you live your plan, it wins."	Attention differences are common	"A noticeable slice of adults meet criteria for attention-deficit conditions; many never get a label but still benefit from structure.

If a system helps you function, that is the outcome that counts."	Attention comes in flavours	"Many people have attention differences; structure still helps everyone.

If a tool helps you live your plan, it wins."	
I48	consistency	habit_added	Fleeson — trait consistency	https://pubmed.ncbi.nlm.nih.gov/15301630/	Structure soothes	"Having several small dependable habits correlates with life satisfaction even when the habits themselves are humble.

Rhythm is its own kind of rest."	Rhythms feel good	"Several small steady habits link to happier days — even humble ones.

Rhythm can feel like rest."	Structure soothes	"Having several small dependable habits correlates with life satisfaction even when the habits themselves are humble.

Rhythm is its own kind of rest."	Rhythms feel good	"Several small steady habits link to happier days — even humble ones.

Rhythm can feel like rest."	
I49	consistency	week_participation	Milkman & Dai	https://pubmed.ncbi.nlm.nih.gov/24434240/	Fresh starts are real	"People restart goals more often after Mondays, month beginnings, or birthdays — “temporal landmarks” in the research.

A Wednesday miss is not a season finale; Thursday can be episode two."	Fresh starts are real	"Mondays, month starts, and birthdays nudge new tries.

A Wednesday miss is not the finale."	Fresh starts are real	"People restart goals more often after Mondays, month beginnings, or birthdays — “temporal landmarks” in the research.

A Wednesday miss is not a season finale; Thursday can be episode two."	Fresh starts are real	"Mondays, month starts, and birthdays nudge new tries.

A Wednesday miss is not the finale."	
I50	consistency	week_8	Mixpanel — app retention	https://mixpanel.com/blog/	You beat the averages	"Industry data suggests only a sliver of people who download habit apps are still active two months later. Logging here already puts you on the uncommon side of the curve.

Credit the structure you built, not luck."	You are already rare	"Most habit apps lose people in a couple of months. Logging here already puts you on the uncommon side.

Credit your effort."	You beat the averages	"Industry data suggests only a small share of people who download habit apps are still active two months later. By logging here you’re already on the uncommon side of that curve.

That’s the structure you built doing its job — not luck."	You are already rare	"Most habit apps lose people in a couple of months. Logging here already puts you on the uncommon side.

Credit your effort."	Smoothed the abrupt 'Credit the structure you built, not luck.' closer.
F1	funny	week_participation	Sleep Foundation	https://www.sleepfoundation.org/	Snooze is a human specialty	"Plenty of animals wake on cue, but only humans set an alarm, understand what it means, and then debate whether nine more minutes is “strategic rest.”

The snooze button is a tiny comedy about self-control every morning."	Snooze is a human thing	"Only humans set alarms… then negotiate nine more minutes.

The snooze button is a tiny comedy about mornings."	Snooze is a human specialty	"Plenty of animals wake on cue, but only humans set an alarm, understand what it means, and then debate whether nine more minutes is “strategic rest.”

The snooze button is a tiny comedy about self-control every morning."	Snooze is a human thing	"Only humans set alarms… then negotiate nine more minutes.

The snooze button is a tiny comedy about mornings."	
F2	funny	week_participation	Sleep Foundation	https://www.sleepfoundation.org/how-sleep-works/how-much-sleep-do-we-need	You will sleep for years	"Over a life, sleep adds up to decades — more than many mortgages last. Unlike a mortgage, good sleep pays you back in mood and focus.

Treat the mattress like infrastructure, not luxury."	You will sleep for years	"Sleep adds up to a huge slice of life — like a long holiday every year.

Good sleep pays you back in mood."	You will sleep for years	"Over a life, sleep adds up to decades — more than many mortgages last. Unlike a mortgage, good sleep pays you back in mood and focus.

Treat the mattress like infrastructure, not luxury."	You will sleep for years	"Sleep adds up to a huge slice of life — like a long holiday every year.

Good sleep pays you back in mood."	
F3	funny	any	NHS — alcohol	https://www.nhs.uk/live-well/alcohol-advice/	The liver keeps its own clock	"Roughly one standard drink per hour is what typical livers clear — coffee, cold showers, and pep talks do not speed the chemistry.

Patience is the only life hack here."	Bodies clear drinks slowly	"Typical grown-up bodies clear about one standard drink per hour — coffee and pep talks do not speed it up.

Waiting is the real “life hack.”"	The liver keeps its own clock	"Roughly one standard drink per hour is what typical livers clear — coffee, cold showers, and pep talks do not speed the chemistry.

Patience is the only life hack here."	Bodies clear drinks slowly	"Typical grown-up bodies clear about one standard drink per hour — coffee and pep talks do not speed it up.

Waiting is the real “life hack.”"	
F4	funny	week_participation	Guinness / Gardner record	https://www.guinnessworldrecords.com/	Eleven days awake (please do not try)	"A famous 1964 stunt stayed awake for eleven days under medical watch. He recovered — and said never again.

Your late reel session is not that experiment, but it rhymes."	Eleven days awake (!)	"A famous stunt stayed awake eleven days with doctors watching. He said never again.

Do not try this — your sleep matters."	Eleven days awake (please do not try)	"A famous 1964 stunt stayed awake for eleven days under medical watch. He recovered — and said never again.

Your late reel session is not that experiment, but it rhymes."	Eleven days awake (!)	"A famous stunt stayed awake eleven days with doctors watching. He said never again.

Do not try this — your sleep matters."	
F5	funny	week_2	Industry surveys (e.g. Statista)	https://www.statista.com/	January gyms, March quiet	"Gyms spike in early January, then quiet down by February. March regulars rarely have more “motivation” — they have a plan that survived February.

Systems beat vibes."	January gyms, March calm	"Gyms get busy in January, then quieter. March regulars have plans that survived February.

Systems beat vibes."	January gyms, March quiet	"Gyms spike in early January, then quiet down by February. March regulars rarely have more “motivation” — they have a plan that survived February.

Systems beat vibes."	January gyms, March calm	"Gyms get busy in January, then quieter. March regulars have plans that survived February.

Systems beat vibes."	
F6	funny	week_participation	Libet et al., 1983	https://pubmed.ncbi.nlm.nih.gov/6875817/	The body moves before the story	"Classic lab work found brain activity shifting before people reported a conscious choice to move. Much of life is noticing yourself mid-habit.

Automatic is not the enemy — it is the finish line."	Body first, story second	"Brains sometimes move before we notice the choice.

Much of life is catching yourself mid-habit."	The body moves before the story	"Classic lab work found brain activity shifting before people reported a conscious choice to move. Much of life is noticing yourself mid-habit.

Automatic is not the enemy — it is the finish line."	Body first, story second	"Brains sometimes move before we notice the choice.

Much of life is catching yourself mid-habit."	
F7	funny	any	Popular psychology summaries	https://www.psychologytoday.com/	Made beds, clearer heads	"People who make the bed often report feeling more on top of the day. Causation is fuzzy; the easy win is not.

Two minutes for a visible “already done” badge."	Made beds, brighter mornings	"People who make the bed often feel more on top of the day.

Two minutes, one easy win."	Made beds, clearer heads	"People who make the bed often report feeling more on top of the day. Causation is fuzzy; the easy win is not.

Two minutes for a visible “already done” badge."	Made beds, brighter mornings	"People who make the bed often feel more on top of the day.

Two minutes, one easy win."	
F8	funny	habit_added	Asurion survey	https://www.asurion.com/connect/news/tech-usage/	Phones trained you well	"Some surveys find phones checked nearly a hundred times a day — tiny hits of novelty all waking hours.

If your habit app feels sticky, you are competing with world-class designers. Fair fight."	Phones are designed to stick	"Some people check phones nearly a hundred times a day.

Your habit app competes with world-class designers — fair fight."	Phones trained you well	"Some surveys find phones checked nearly a hundred times a day — tiny hits of novelty all waking hours.

If your habit app feels sticky, you are competing with world-class designers. Fair fight."	Phones are designed to stick	"Some people check phones nearly a hundred times a day.

Your habit app competes with world-class designers — fair fight."	
F9	funny	week_participation	Harvard Health — activity & calories	https://www.health.harvard.edu/diet-and-weight-loss/calories-burned-in-30-minutes-for-people-of-three-different-weights	Movement and treats	"A mile of jogging often burns fewer calories than a rich pastry contains. Annoying but true — before you eat a treat, it helps to translate its calories into the effort you would need to burn them."	Runs and treats	"A mile of jogging often uses less energy than a big treat has. Annoying but true — before you eat a treat, it helps to think about how much moving it would take to use that energy."	Movement and treats	"A mile of jogging often burns fewer calories than a rich pastry contains. Annoying but true — before you eat a treat, it helps to translate its calories into the effort you would need to burn them."	Runs and treats	"A mile of jogging often uses less energy than a big treat has. Annoying but true — before you eat a treat, it helps to think about how much moving it would take to use that energy."	Shortened per user — one paragraph, no punchline closer.	
F10	funny	any	Merriam-Webster — word history	https://www.merriam-webster.com/words-at-play/the-history-of-deadline	Deadline used to be literal	"“Deadline” once meant a line prisoners could not cross — serious consequences. Now it means spreadsheets.

Your Week still has a firm line here: logging for that Mon–Sun row locks at midnight Sunday (local time) — gentler stakes, same human love of a boundary."	“Deadline” used to be scarier	"Long ago a “deadline” was a line you must not cross — serious trouble.

Now it means rows in an app — gentler stakes."	Deadline used to be literal	"“Deadline” once meant a line prisoners could not cross — serious consequences. Now it means spreadsheets.

Your Week still has a firm line here: logging for that Mon–Sun row locks at midnight Sunday (local time) — gentler stakes, same human love of a boundary."	“Deadline” used to be scarier	"Long ago a “deadline” was a line you must not cross — serious trouble.

Now it means rows in an app — gentler stakes."	
F11	funny	week_participation	Danziger et al., 2011	https://pubmed.ncbi.nlm.nih.gov/21482790/	Judges and lunch breaks	"A well-known study found judges’ leniency dipped before meal breaks and rose after — probably fatigue and timing, not cruelty.

Your 4pm self is not morally worse; just depleted."	Judges and lunch	"A famous study: judges were stricter before lunch and kinder after — tired brains, not mean hearts.

Afternoon you is not “worse,” just lower fuel."	Judges and lunch breaks	"A well-known study found judges’ leniency dipped before meal breaks and rose after — probably fatigue and timing, not cruelty.

Your 4pm self is not morally worse; just depleted."	Judges and lunch	"A famous study: judges were stricter before lunch and kinder after — tired brains, not mean hearts.

Afternoon you is not “worse,” just lower fuel."	
F12	myth	habit_added	Lally et al.	https://pubmed.ncbi.nlm.nih.gov/19827987/	Not twenty-one days flat	"The “three-week habit” story came from a surgeon’s guess decades ago. Real studies show weeks to many months depending on the habit and the person.

You are not behind — you are on a real curve."	Not always twenty-one days	"The “three-week habit” story was a rough guess. Real habits take weeks to months.

You are not behind."	Not twenty-one days flat	"The “three-week habit” story came from a surgeon’s guess decades ago. Real studies show weeks to many months depending on the habit and the person.

You are not behind — you are on a real curve."	Not always twenty-one days	"The “three-week habit” story was a rough guess. Real habits take weeks to months.

You are not behind."	
F13	funny	week_participation	APMA — walking facts	https://www.apma.org/	Lifetime mileage	"Average humans walk enough miles in a life to circle Earth several times — mostly in small trips.

The “extra” walks for health are a rounding error that still changes risk."	Walking adds up	"Average humans walk enough in life to circle Earth several times — in tiny trips.

Extra walks still change health."	Lifetime mileage	"Average humans walk enough miles in a life to circle Earth several times — mostly in small trips.

The “extra” walks for health are a rounding error that still changes risk."	Walking adds up	"Average humans walk enough in life to circle Earth several times — in tiny trips.

Extra walks still change health."	
F14	funny	week_participation	Celis-Morales et al., 2017	https://pubmed.ncbi.nlm.nih.gov/28360066/	Bike commuters, calmer hearts	"Big studies link cycling to work with much lower heart-disease risk than driving the same route.

Lycra optional; pedals sufficient."	Bikes and hearts	"Big studies say bike commuters often have calmer hearts than drivers on the same route.

Lycra optional."	Bike commuters, calmer hearts	"Big studies link cycling to work with much lower heart-disease risk than driving the same route.

Lycra optional; pedals sufficient."	Bikes and hearts	"Big studies say bike commuters often have calmer hearts than drivers on the same route.

Lycra optional."	
F15	funny	any	Strength training primers	https://pubmed.ncbi.nlm.nih.gov/	Kids are kettlebells	"Muscles do not care if the weight has opinions. Carrying a toddler upstairs still counts as load.

Parenting: accidental gym."	Kids count as weights	"Muscles do not care if the weight giggles. Carrying little ones upstairs still counts.

Accidental gym."	Kids are kettlebells	"Muscles do not care if the weight has opinions. Carrying a toddler upstairs still counts as load.

Parenting: accidental gym."	Kids count as weights	"Muscles do not care if the weight giggles. Carrying little ones upstairs still counts.

Accidental gym."	
F16	funny	week_4	Historical demography	https://en.wikipedia.org/wiki/Roman_demography	Ancient life expectancy math	"Roman “average lifespan ~35” mostly reflects child deaths. Adults who survived childhood often reached their sixties and seventies.

Averages hide different stories."	Old average ages were tricky	"Ancient “average lifespan ~35” mostly counted young kids. Adults often lived decades longer.

Averages hide stories."	Ancient life expectancy math	"Roman “average lifespan ~35” mostly reflects child deaths. Adults who survived childhood often reached their sixties and seventies.

Averages hide different stories."	Old average ages were tricky	"Ancient “average lifespan ~35” mostly counted young kids. Adults often lived decades longer.

Averages hide stories."	
F17	funny	week_participation	BBC Future	https://www.bbc.com/future/article/20210907-how-often-does-the-human-body-replace-itself	Your body rebuilds itself	"Most cells replace on a multi-year rhythm — you are a slow ship of Theseus.

Today’s habits feed tomorrow’s replacement crew."	Your body rebuilds	"Most cells replace on a slow rhythm — you are a ship rebuilt plank by plank.

Today’s habits feed tomorrow’s you."	Your body rebuilds itself	"Most cells replace on a multi-year rhythm — you are a slow ship of Theseus.

Today’s habits feed tomorrow’s replacement crew."	Your body rebuilds	"Most cells replace on a slow rhythm — you are a ship rebuilt plank by plank.

Today’s habits feed tomorrow’s you."	
F18	funny	habit_added	Sirois & Pychyl	https://pubmed.ncbi.nlm.nih.gov/24126546/	Procrastination protects feelings	"Putting things off often dodges boredom, anxiety, or shame — not a calendar glitch.

Name the feeling, shrink the task, start ugly."	Delay dodges feelings	"Putting things off often hides boredom, worry, or shame.

Name the feeling, shrink the task, start messy."	Procrastination protects feelings	"Putting things off often dodges boredom, anxiety, or shame — not a calendar glitch.

Name the feeling, shrink the task, start ugly."	Delay dodges feelings	"Putting things off often hides boredom, worry, or shame.

Name the feeling, shrink the task, start messy."	
F19	funny	week_participation	Dallman et al.	https://pubmed.ncbi.nlm.nih.gov/14583744/	Stress whispers “eat dense”	"Long-term stress nudges appetite toward quick calories — an old survival script.

Not weakness; wiring you can plan around."	Stress and snack cravings	"Long stress nudges appetite toward quick calories — old survival wiring.

Not weakness; you can plan snacks kindly."	Stress whispers “eat dense”	"Long-term stress nudges appetite toward quick calories — an old survival script.

Not weakness; wiring you can plan around."	Stress and snack cravings	"Long stress nudges appetite toward quick calories — old survival wiring.

Not weakness; you can plan snacks kindly."	
F20	funny	week_participation	Aragón et al., 2015	https://pubmed.ncbi.nlm.nih.gov/26312674/	Cute aggression is normal	"That urge to squeeze a puppy? Researchers gave it a name: cute aggression. Harmless, common, weirdly sweet.

Totally unrelated to your streak — just a smile break."	Cute squeeze feelings	"Wanting to squeeze a puppy? Scientists called it “cute aggression” — common and harmless.

Totally unrelated to your streak — just silly joy."	Cute aggression is normal	"That urge to squeeze a puppy? Researchers gave it a name: cute aggression. Harmless, common, weirdly sweet.

Totally unrelated to your streak — just a smile break."	Cute squeeze feelings	"Wanting to squeeze a puppy? Scientists called it “cute aggression” — common and harmless.

Totally unrelated to your streak — just silly joy."	
ME1	inside the app	red_to_amber	Kahneman & Tversky — prospect theory	https://doi.org/10.2307/1914183	Losses feel louder than wins	"Classic decision research found people hate losing about twice as much as they enjoy gaining the same amount. A clear “floor” uses that honesty: protecting progress hits different emotional notes than a vague “do better.”

The app names the stakes so your attention has somewhere real to stand.

Below the floor, recovery keeps rules transparent — core-only pot accrual and strict-drop resets — all explicit, with no random layer on top of your treats or pot."	Losses feel louder than wins	"People hate losing about twice as much as they enjoy gaining the same amount.

A clear “floor” in the app makes the stakes honest.

Below the floor, recovery keeps jar rules clear — core-only money until the score recovers. Ask a grown-up for the full picture."	Losses feel louder than wins	"Classic decision research found people dislike losing about twice as much as they enjoy gaining the same amount. A clear “floor” puts that to work: protecting progress motivates more than a vague “do better.”

Below the floor you’re in recovery: only core habits add to the pot, and a further true drop resets it. Every rule is visible — no random layer on top of your treats or pot."	Losses feel louder than wins	"People hate losing about twice as much as they enjoy gaining the same amount.

A clear “floor” in the app makes the stakes honest.

Below the floor, recovery keeps jar rules clear — core-only money until the score recovers. Ask a grown-up for the full picture."	Trimmed the abstract 'somewhere real to stand' line; kept the mechanic explanation concrete and visible.
ME2	inside the app	week_4	Ashraf, Karlan & Yin — commitment savings	https://doi.org/10.1162/qjec.2006.121.2.635	Locking money on purpose works	"In real-world trials, savers who chose accounts that locked funds until a date often built bigger balances than people left totally free — even when freedom sounds nicer.

A named pot is a soft version of that contract with yourself."	Locked savings help	"Savers who chose “locked until a date” accounts often saved more than total freedom.

Goal pots here echo that gentle lock."	Locking money on purpose works	"In real-world trials, savers who chose accounts that locked funds until a date often built bigger balances than people left totally free — even when freedom sounds nicer.

A named pot is a soft version of that contract with yourself."	Locked savings help	"Savers who chose “locked until a date” accounts often saved more than total freedom.

Goal pots here echo that gentle lock."	
ME3	inside the app	week_participation	Kivetz, Urminsky & Zheng	https://doi.org/10.1509/jmkr.43.1.39	The last steps feel fastest	"Coffee-shop studies showed people speed up purchases as a free-drink card nears full — effort rises near the finish. A filling progress bar borrows the same nudge.

Close targets feel magnetic; use that instead of guilt."	The last steps feel fastest	"People speed up when a punch-card is almost full.

Progress bars use the same “almost there” pull."	The last steps feel fastest	"Coffee-shop studies showed people speed up purchases as a free-drink card nears full — effort rises near the finish. A filling progress bar borrows the same nudge.

Close targets feel magnetic; use that instead of guilt."	The last steps feel fastest	"People speed up when a punch-card is almost full.

Progress bars use the same “almost there” pull."	
ME4	inside the app	week_2	Laibson — present bias (QJE)	https://doi.org/10.1162/003355397555253	Now-you and later-you disagree	"Economists model a pattern many people feel: distant rewards shrink in our minds while tonight’s treat grows huge. Pairing a small weekly win with a slow pot feeds both versions of you.

Structure ends the argument instead of moralising it."	Now-you vs later-you	"Tonight’s treat feels huge; faraway rewards feel tiny.

Weekly treats plus a slow pot feed both versions of you."	Now-you and later-you disagree	"Economists model a pattern many people feel: distant rewards shrink in our minds while tonight’s treat grows huge. Pairing a small weekly win with a slow pot feeds both versions of you.

Structure ends the argument instead of moralising it."	Now-you vs later-you	"Tonight’s treat feels huge; faraway rewards feel tiny.

Weekly treats plus a slow pot feed both versions of you."	
ME5	inside the app	habit_added	Michie et al. — behaviour change techniques	https://doi.org/10.1037/a0016136	Checking boxes is real medicine	"A giant review of health programmes found keeping track of behaviour — food, steps, sleep — was one of the strongest ingredients that made interventions work.

Your taps are not theatre; they are a proven behaviour-change tool."	Tracking really helps	"Big reviews say logging food, steps, or sleep is one of the strongest helpers in health programmes.

Your taps are real tools."	Checking boxes is real medicine	"A giant review of health programmes found keeping track of behaviour — food, steps, sleep — was one of the strongest ingredients that made interventions work.

Your taps are not theatre; they are a proven behaviour-change tool."	Tracking really helps	"Big reviews say logging food, steps, or sleep is one of the strongest helpers in health programmes.

Your taps are real tools."	
ME6	inside the app	week_participation	Milkman, Minson & Volpp	https://doi.org/10.1287/mnsc.2013.1784	Earn the fun, enjoy it harder	"Researchers boosted gym visits by pairing addictive audiobooks with treadmill time only. Your weekly treat after qualifying is the same bargain: joy rides on the habit, not beside it.

Pleasure with a gate stays memorable longer."	Earn the fun	"Researchers paired audiobooks with treadmill time only — visits went up.

Your weekly treat after qualifying uses the same bargain."	Earn the fun, enjoy it harder	"Researchers boosted gym visits by saving an addictive audiobook for treadmill time only. Your weekly treat works the same way: it arrives because you qualified, so the fun and the habit stay linked.

A reward you earned tends to stick in memory longer than one you just took."	Earn the fun	"Researchers paired audiobooks with treadmill time only — visits went up.

Your weekly treat after qualifying uses the same bargain."	Replaced cryptic 'joy rides on the habit, not beside it' / 'pleasure with a gate' with plain language.
ME7	inside the app	amber_to_green	Kahneman, Knetsch & Thaler — endowment effect	https://doi.org/10.1086/261737	Progress feels like property	"Give someone a random mug and they suddenly price it like treasure. Streaks and pots inherit that quirk — losing ground stings because it feels like giving something up.

The design respects that feeling instead of pretending you are a spreadsheet."	Progress feels like “mine”	"We care extra about things we feel we own — streaks and pots use that quirk.

The app respects feelings, not only numbers."	Progress feels like property	"Give someone a random mug and they suddenly price it like treasure. Streaks and pots inherit that quirk — losing ground stings because it feels like giving something up.

The app treats that feeling as real information, not something to shame you out of."	Progress feels like “mine”	"We care extra about things we feel we own — streaks and pots use that quirk.

The app respects feelings, not only numbers."	Replaced the slightly advert-like 'instead of pretending you are a spreadsheet'.
ME8	inside the app	week_2	Carver & Scheier — control theory	https://doi.org/10.1037/0033-2909.92.1.111	The screen is a thermostat	"Self-regulation theories say we compare “where I am” to “where I want to be,” then adjust. Colours, chips, and week rows are that comparison made friendly.

You get direction without drowning in shame."	The screen is a thermostat	"Brains compare “where I am” to “where I want to be,” then adjust.

Colours and chips make that comparison kind."	The screen is a thermostat	"Self-regulation theories say we compare “where I am” to “where I want to be,” then adjust. Colours, chips, and week rows are that comparison made friendly.

You get direction without drowning in shame."	The screen is a thermostat	"Brains compare “where I am” to “where I want to be,” then adjust.

Colours and chips make that comparison kind."	
ME9	inside the app	habit_added	Thaler — mental accounting	https://doi.org/10.1002/(SICI)1099-0771(199909)12:3%3C183::AID-BDM318%3E3.0.CO;2-F	Labels change spending in your head	"People treat “holiday money” and “bill money” as if they are not interchangeable — even when the bank account is one. Separate goal pots ride that habit so wins stay attached to their story.

Compartmentalising can be a feature."	Separate jars in your head	"People treat “holiday money” and “bill money” differently even in one account.

Separate goal pots ride that habit."	Labels change spending in your head	"People treat “holiday money” and “bill money” as if they are not interchangeable — even when the bank account is one. Separate goal pots ride that habit so wins stay attached to their story.

Compartmentalising can be a feature."	Separate jars in your head	"People treat “holiday money” and “bill money” differently even in one account.

Separate goal pots ride that habit."	
ME10	inside the app	any	Schultz, Dayan & Montague — reward learning	https://doi.org/10.1126/science.275.5306.1593	Little surprises, steady attention	"Brain studies show cells that learn from “better than expected” moments. A pop-up fact you did not schedule is a mild version of that — curiosity without turning insights into a wager.

Small novelty can support focus when kept kind."	Small surprises, steady attention	"Brains learn from “better than expected” moments.

Surprise facts here are mild curiosity — little brain teasers, not bets."	Little surprises, steady attention	"Brain cells learn from “better than expected” moments. A fact you didn’t schedule is a mild version of that — a little curiosity, never a bet or a prize you can lose.

Small novelty can keep attention awake when it stays gentle."	Small surprises, steady attention	"Brains learn from “better than expected” moments.

Surprise facts here are mild curiosity — little brain teasers, not bets."	Replaced 'turning insights into a wager' with clearer wording; clarified it's not a gamble.
ME11	inside the app	any	Consistency app — online / offline indicator		Green means online	The green pill around your name shows that you are currently online. When it's grey it means that you have lost connection, but your data will keep being saved on your device until next sync.	Online?	Green around your name means you are online! Grey means you are not!	Green means online	The green ring around your name means you’re online and syncing. Grey means the connection dropped — don’t worry, your logs keep saving on this device and upload on the next sync.	Online?	Green around your name means you are online! Grey means you are not!	Fixed run-on grammar and tightened; same meaning.
RG1	inside the app	red_to_green	Consistency app — tier colours		From red to green	"When consistency jumps straight from struggling to solid, it usually means several closed weeks lined up behind the number — not one fluke week.

Let the colour change be a quiet “keep going,” not pressure to be perfect next week."	From red to green	"Jumping from struggling to solid usually means several good closed weeks — not one fluke week.

Let the colour change say “keep going,” not “be perfect.”"	From red to green	"When consistency jumps straight from struggling to solid, it usually means several closed weeks lined up behind the number — not one fluke week.

Let the colour change be a quiet “keep going,” not pressure to be perfect next week."	From red to green	"Jumping from struggling to solid usually means several good closed weeks — not one fluke week.

Let the colour change say “keep going,” not “be perfect.”"	
MY1	consistency	month_on_track	Milkman & Dai — fresh starts	https://pubmed.ncbi.nlm.nih.gov/24434240/	Month on track	"Early in a month, people often lean on fresh-start energy. Research on “temporal landmarks” shows Mondays and month beginnings nudge new attempts without needing a dramatic reboot.

If your goals sit in the steady band, you are allowed to ride that gentle tailwind."	Month on track	"Month starts give a fresh-start boost for many people.

If you are in the steady band, ride the gentle tailwind."	Month on track	"Early in a month, people often lean on fresh-start energy. Research on “temporal landmarks” shows Mondays and month beginnings nudge new attempts without needing a dramatic reboot.

If your goals sit in the steady band, you are allowed to ride that gentle tailwind."	Month on track	"Month starts give a fresh-start boost for many people.

If you are in the steady band, ride the gentle tailwind."	
MY2	consistency	year_on_track	Wood & Neal — habits (overview)	https://pubmed.ncbi.nlm.nih.gov/17685980/	Year, same lane	"Big studies on habits stress boring repetition over hero weeks. A new calendar year is just another Monday in a longer chain — useful if it helps you show up, not if it becomes all-or-nothing.

Steady beats dramatic when the year gets noisy."	New year, same steady	"Habits love boring repetition more than hero weeks.

A new year is useful if it helps you show up — not if it becomes all-or-nothing."	Year, same lane	"Big studies on habits stress boring repetition over hero weeks. A new calendar year is just another Monday in a longer chain — useful if it helps you show up, not if it becomes all-or-nothing.

Steady beats dramatic when the year gets noisy."	New year, same steady	"Habits love boring repetition more than hero weeks.

A new year is useful if it helps you show up — not if it becomes all-or-nothing."	
CB1	consistency	comeback	Norcross — change maintenance	https://pubmed.ncbi.nlm.nih.gov/	You came back	"Maintenance research keeps repeating one lesson: slips are normal; re-entry predicts long-term change more than a spotless streak.

Opening the log again after a rough week is already the behaviour scientists care about."	You came back	"Slips are normal. Scientists care most that you return.

Opening the log after a rough week already counts."	You came back	"Maintenance research keeps repeating one lesson: slips are normal; re-entry predicts long-term change more than a spotless streak.

Opening the log again after a rough week is already the behaviour scientists care about."	You came back	"Slips are normal. Scientists care most that you return.

Opening the log after a rough week already counts."	
CA1	how the consistency app works	habit_added	Consistency — week & habit rules		Habits added mid-week get a fair start	"If you add a habit on a day other than Monday, that first partial week uses proportional targets — your threshold is scaled down based on how many days remain in the week.

For example, if your goal is 5 days per week and you start on Thursday, you only need to hit roughly 2 days (floor of 5 × 4/7). This keeps scoring fair without blocking your goal on a week you could never fully complete."	Fair start mid-week	"If you add a habit mid-week, your first partial week uses a smaller target so it stays fair.

Example: starting Thursday with a 5-day goal might ask ~2 days that week."	Habits added mid-week get a fair start	"If you add a habit on a day other than Monday, that first partial week uses proportional targets — your threshold is scaled down based on how many days remain in the week.

For example, if your goal is 5 days per week and you start on Thursday, you only need to hit roughly 2 days (floor of 5 × 4/7). This keeps scoring fair without blocking your goal on a week you could never fully complete."	Fair start mid-week	"If you add a habit mid-week, your first partial week uses a smaller target so it stays fair.

Example: starting Thursday with a 5-day goal might ask ~2 days that week."	
CA2	how the consistency app works	tier_tutorial_done	Consistency app — habit tiers		Core and growth habits	Core habits must all qualify for a closed week to count toward your % and weekly treats; growth habits add pot money when they qualify but never block the week. In recovery (rolling % below that goal’s consistency floor), only core habits add £ to the pot; growth adds £0 until rolling % reaches the floor again. Each goal’s floor is set in Add/Edit goal (default often 80%).	Core and growth habits	"Core habits are your must-do habits: when a week closes, they all need to qualify so the week counts on your score and for your treat.

Growth habits add jar money when you do them — they never block the week.

In recovery (below your floor), only core adds jar money until your score climbs back; growth waits. A grown-up can help with the numbers."	Core and growth habits	Core habits must all qualify for a closed week to count toward your % and weekly treats; growth habits add pot money when they qualify but never block the week. In recovery (rolling % below that goal’s consistency floor), only core habits add £ to the pot; growth adds £0 until rolling % reaches the floor again. Each goal’s floor is set in Add/Edit goal (default often 80%).	Core and growth habits	"Core habits are your must-do habits: when a week closes, they all need to qualify so the week counts on your score and for your treat.

Growth habits add jar money when you do them — they never block the week.

In recovery (below your floor), only core adds jar money until your score climbs back; growth waits. A grown-up can help with the numbers."	
NH1	molecules and mood	habit_added	Lieberman & Long; Lembke (overview)	https://www.basicbooks.com/titles/daniel-z-lieberman-md/the-molecule-of-more/9781541692273/	Dopamine is more “go” than “ahh”	"Popular books like “The Molecule of More” and “Dopamine Nation” stress one idea: much of what people call “reward” is wanting and momentum, not the cozy feeling after a good meal.

Chasing the next tick is dopamine-heavy; deep rest after is often other chemistry."	“Reward” chemistry is tricky	"A lot of what people call “reward” is wanting and go-go energy, not only cosy afterglow.

Chasing the next tick uses different chemistry than deep rest."	Dopamine is more “go” than “ahh”	"Popular books like “The Molecule of More” and “Dopamine Nation” stress one idea: much of what people call “reward” is wanting and momentum, not the cozy feeling after a good meal.

Chasing the next tick is dopamine-heavy; deep rest after is often other chemistry."	“Reward” chemistry is tricky	"A lot of what people call “reward” is wanting and go-go energy, not only cosy afterglow.

Chasing the next tick uses different chemistry than deep rest."	
